Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes
BSY,Bentley Systems,Infrastructure Twins (AEC),iTwin for roads/rails/utilities; deep ecosystem partnerships.,DOT/rail/utilities awards; SaaS mix; partner wins (Omniverse).,Public infrastructure timing; project delays.,Durable infra software play.
IQV,IQVIA,Life Sciences Services,CRO/data for pharma; not directly linked to QTS.,Booking trends; AI tools; M&A.,Biopharma budgets; competition.,Defensive CRO exposure.
APPN,Appian,Low-code + RPA,Low-code process + embedded RPA; Gov/regulated wins.,GTM with partners; FedRAMP deals; AI features.,Competition; sales efficiency.,Higher beta low-code.
ROK,Rockwell Automation,MES / Connected Worker,FactoryTalk & Plex Connected Worker in MES stack.,SaaS bookings; digital thread wins; partner deals.,Discrete mfg cycles; channel trends.,High-quality industrial software.
PTC,PTC,PLM/IoT / Connected Worker,Windchill + ThingWorx + Vuforia; strong digital thread story.,SaaS transition progress; large logos; AR use cases.,Macro in discrete mfg; channel strength; FX.,Core enterprise software.
PATH,UiPath,RPA / AI Agents,Leader in automation/orchestration; expanding AI-native features.,Large enterprise deals; platform launches; partner ecosystem.,Pricing/model shifts; comp from suites.,Core pure-play RPA.
SSNC,SS&C Technologies,RPA via Blue Prism,Deep fin/healthcare customer base; cross-sell automation.,Vertical wins; margin expansion; M&A synergies.,Integration risk; macro in FS clients.,Value + automation exposure.
U,Unity Software,Real-time 3D / Twins,Unity Industry targets manufacturing/robotics twins.,Case studies; new pricing; enterprise penetration.,Game market cyclicality; pricing pushback.,Higher beta; enterprise pivot.
TRMB,Trimble,Reality Capture / Construction,Positioning + construction tech feeding twins.,Civil/infra awards; autonomy/robotics tie-ins.,Construction cycles; hardware margins.,Leverage to infra spend.
AMBA,Ambarella,Vision SoCs / Edge AI,Camera/auto vision silicon; pushing GenAI features at the edge.,Auto ADAS wins; security/camera demand; new AI SKUs.,Consumer softness; China; customer concentration.,"Higher beta, leveraged to vision."
ARIS,Aris Water Solutions,Water/Infra,Produced water recycling for energy basins.,Volume growth; contracts; regulatory policy.,Commodity activity; execution.,Yield + ESG angle.
WTTR,Select Water Solutions,Water/Infra,Water services for energy/critical minerals theme.,Contract wins; pricing; M&A; policy tailwinds.,Commodity cycles; regional demand.,Cash flow + policy optionality.
NOW,ServiceNow,Workflow + RPA,Now Platform with embedded RPA & AI; broad distribution.,Release waves; large deals; partner builds.,IT budget cycles; platform competition.,Suite advantage.
PEGA,Pegasystems,Workflow/RPA / Low-code,End-to-end orchestration; AWS AI partnership.,Modernization deals; cloud mix; genAI features.,Sales cycles; execution history.,Event-driven re-rating potential.
AAPL,Apple,XR Devices (Enterprise),Vision Pro enterprise pilots for design/training.,New headset updates; enterprise case studies.,Device cadence; price/perf; developer traction.,Hardware-led XR angle.
META,Meta Platforms,XR Devices/Platform,Cost-down XR devices; enterprise/consumer mix.,New hardware; enterprise partnerships.,Ad market cyclicality; XR losses.,Optionality in XR adoption.
