Ticker,Sector
GEHC,Health Care
ITW,Industrials
HBAN,Financials
LUV,Industrials
JBHT,Industrials
JKHY,Information Technology
J,Industrials
VLTO,Industrials
DPZ,Consumer Discretionary
PNC,Financials
GEN,Information Technology
TSLA,Consumer Discretionary
COIN,Financials
DAL,Industrials
AON,Financials
PEP,Consumer Staples
PEG,Utilities
HPE,Information Technology
WSM,Consumer Discretionary
BKNG,Consumer Discretionary
REG,Real Estate
SJM,Consumer Staples
FDX,Industrials
SBAC,Real Estate
TRGP,Energy
AOS,Industrials
MDLZ,Consumer Staples
NWS,Communication Services
OTIS,Industrials
HAL,Energy
UAL,Industrials
LOW,Consumer Discretionary
TMUS,Communication Services
LMT,Industrials
DAY,Information Technology
PGR,Financials
SLB,Energy
PFE,Health Care
BXP,Real Estate
GNRC,Industrials
MGM,Consumer Discretionary
CSGP,Real Estate
MSCI,Financials
DIS,Communication Services
PTC,Information Technology
DRI,Consumer Discretionary
SBUX,Consumer Discretionary
FTV,Industrials
TSN,Consumer Staples
LEN,Consumer Discretionary
NWSA,Communication Services
GRMN,Consumer Discretionary
FFIV,Information Technology
AKAM,Information Technology
NTAP,Information Technology
MHK,Consumer Discretionary
NXPI,Information Technology
CF,Materials
SOLS,Materials
IPG,Communication Services
MET,Financials
ESS,Real Estate
AVY,Materials
CRL,Health Care
CPT,Real Estate
BALL,Materials
NVR,Consumer Discretionary
GWW,Industrials
AMCR,Materials
PRU,Financials
PG,Consumer Staples
PSA,Real Estate
FICO,Information Technology
HUM,Health Care
MKC,Consumer Staples
FANG,Energy
HON,Industrials
BBY,Consumer Discretionary
CL,Consumer Staples
MCHP,Information Technology
APD,Materials
TROW,Financials
DLR,Real Estate
AJG,Financials
HD,Consumer Discretionary
INVH,Real Estate
COP,Energy
RVTY,Health Care
DOC,Real Estate
EXR,Real Estate
AXON,Industrials
PKG,Materials
FRT,Real Estate
ZBH,Health Care
EOG,Energy
WDAY,Information Technology
ELV,Health Care
OMC,Communication Services
ABNB,Consumer Discretionary
KIM,Real Estate
IR,Industrials
ADP,Information Technology
MAA,Real Estate
KDP,Consumer Staples
LW,Consumer Staples
EG,Financials
MAS,Industrials
TECH,Health Care
ROP,Industrials
CPAY,Information Technology
MMC,Financials
TXN,Information Technology
BDX,Health Care
EQR,Real Estate
AMP,Financials
VTRS,Health Care
OXY,Energy
EFX,Financials
FTNT,Information Technology
NKE,Consumer Discretionary
WST,Health Care
BX,Financials
PPG,Materials
SWK,Industrials
KHC,Consumer Staples
AVB,Real Estate
COO,Health Care
TYL,Information Technology
UDR,Real Estate
BMY,Health Care
IEX,Industrials
TPL,Energy
VRSK,Industrials
IRM,Real Estate
CDW,Information Technology
TAP,Consumer Staples
LKQ,Consumer Discretionary
DVA,Health Care
KMB,Consumer Staples
CHD,Consumer Staples
KKR,Financials
EQIX,Real Estate
SNPS,Information Technology
MSI,Information Technology
IFF,Materials
Q,Health Care
PAYX,Information Technology
FIS,Information Technology
PAYC,Information Technology
BRO,Financials
APO,Financials
KVUE,Consumer Staples
PCG,Utilities
DXCM,Health Care
EPAM,Information Technology
WY,Real Estate
CARR,Industrials
NOW,Information Technology
LII,Industrials
ODFL,Industrials
GIS,Consumer Staples
CPB,Consumer Staples
UPS,Industrials
ZTS,Health Care
BF.B,Consumer Staples
ON,Information Technology
HPQ,Information Technology
EIX,Utilities
ADBE,Information Technology
XYZ,Information Technology
CMCSA,Communication Services
HRL,Consumer Staples
ERIE,Financials
ACN,Information Technology
BLDR,Industrials
CPRT,Industrials
PYPL,Information Technology
NCLH,Consumer Discretionary
SWKS,Information Technology
POOL,Consumer Discretionary
OKE,Energy
IP,Materials
ALGN,Health Care
CRM,Information Technology
GPN,Information Technology
TGT,Consumer Discretionary
GDDY,Information Technology
CAG,Consumer Staples
CLX,Consumer Staples
UNH,Health Care
BAX,Health Care
SW,Materials
ZBRA,Information Technology
STZ,Consumer Staples
LYB,Materials
CNC,Health Care
CHTR,Communication Services
FDS,Financials
MRNA,Health Care
DOW,Materials
CMG,Consumer Discretionary
ARE,Real Estate
MOH,Health Care
IT,Information Technology
LULU,Consumer Discretionary
DECK,Consumer Discretionary
TTD,Communication Services
FISV,Information Technology
